Fundo,Risco,Liquidez dias ,Rentabilidade,Aporte minimo,Categoria,ESG,Cripto
VITREO BLOCKCHAIN ACOES FIA BDR NIVEL I,3,12,-21,86,100,variavel,0,1
TESOURO IPCA CURTO RF,1,1,8,67,3000,fixa,0,0
BTG PACTUAL YIELD FIRF REFERENCIADO DI CP,1,0,6,99,500,fixa,0,0
BTG PACTUAL OURO FIM,2,8,19,15,500,variavel,0,0
ARX MACRO FIC FIM,2,1,12,45,1000,variavel,0,0
COMPASS ESG CREDIT SELECTION FIC FIRF CP LP,2,1,7,62,500,variavel,1,0
VITREO ENERGIA LIMPA FIA,3,7,-11,71,100,variavel,1,0
ARX EVEREST FIC FIRF CP,1,61,10,66,1000,fixo,0,0
SUL AMERICA EXCELLENCE FIRF CP ,1,1,9,31,1000,fixo,0,0
SPX NIMITZ FIC FIM ACCESS D ,2,61,17,56,5000,variavel,0,0
AQR LONG-BIASED EQUITIES IE FIC MM,3,12,23,63,5000,variavel,0,0
HASHDEX OURO BITCOIN RISK PARITY FIC FIM,2,6,-11,79,0,variavel,0,1
GAUSS INCOME FIC FIRF CP,1,6,6,86,1000,variavel,0,0
CANVAS HIGH YIELD FIC FIM CP,3,361,11,05,5000,variavel,0,0
BTG PACTUAL EXPLORER FI MULTIMERCADO,3,5,10,7,5000,variavel,0,0
KINEA ATLAS II FIM,2,30,10,64,1,variavel,0,0
